counts	number of items in equivalence class	isoforms in equivalence class
50420	2	('ENST00000329251', 'ENST00000496634')
15022	1	('ENST00000449131',)
14169	6	('ENST00000273550', 'ENST00000526640', 'ENST00000532601', 'ENST00000532829', 'ENST00000534180', 'ENST00000620041')
12500	1	('ENST00000536684',)
10517	1	('ENST00000393067',)
10039	7	('ENST00000227157', 'ENST00000379412', 'ENST00000396222', 'ENST00000422447', 'ENST00000430553', 'ENST00000540430', 'ENST00000545215')
8546	5	('ENST00000345732', 'ENST00000389939', 'ENST00000532073', 'ENST00000534668', 'ENST00000674194')
8168	3	('ENST00000321153', 'ENST00000530398', 'ENST00000530797')
8113	2	('ENST00000321153', 'ENST00000530797')
7585	2	('ENST00000228140', 'ENST00000525634')
7165	2	('ENST00000527673', 'ENST00000532567')
6416	4	('ENST00000273550', 'ENST00000530019', 'ENST00000532829', 'ENST00000620041')
6008	8	('ENST00000227378', 'ENST00000524552', 'ENST00000526110', 'ENST00000526686', 'ENST00000532636', 'ENST00000533540', 'ENST00000534319', 'ENST00000534624')
5989	1	('ENST00000260197',)
5890	3	('ENST00000527673', 'ENST00000527791', 'ENST00000532567')
5355	6	('ENST00000273550', 'ENST00000526640', 'ENST00000529548', 'ENST00000532601', 'ENST00000534180', 'ENST00000620041')
4982	1	('ENST00000527673',)
4882	11	('ENST00000227157', 'ENST00000379412', 'ENST00000396222', 'ENST00000422447', 'ENST00000430553', 'ENST00000486690', 'ENST00000536528', 'ENST00000540430', 'ENST00000542179', 'ENST00000543695', 'ENST00000545215')
4453	7	('ENST00000314138', 'ENST00000524496', 'ENST00000526562', 'ENST00000530022', 'ENST00000530913', 'ENST00000531978', 'ENST00000534599')
4353	4	('ENST00000339995', 'ENST00000396525', 'ENST00000525681', 'ENST00000526148')
4327	13	('ENST00000278572', 'ENST00000422465', 'ENST00000524851', 'ENST00000525690', 'ENST00000525933', 'ENST00000526248', 'ENST00000526608', 'ENST00000527446', 'ENST00000530170', 'ENST00000530721', 'ENST00000531188', 'ENST00000532872', 'ENST00000534440')
4303	1	('ENST00000525634',)
4291	6	('ENST00000345732', 'ENST00000389939', 'ENST00000528313', 'ENST00000532073', 'ENST00000534668', 'ENST00000674194')
4286	8	('ENST00000227378', 'ENST00000453788', 'ENST00000526110', 'ENST00000528292', 'ENST00000532636', 'ENST00000533540', 'ENST00000534319', 'ENST00000534624')
4280	1	('ENST00000379965',)
4142	1	('ENST00000308595',)
4054	10	('ENST00000278572', 'ENST00000422465', 'ENST00000524851', 'ENST00000525933', 'ENST00000526248', 'ENST00000526608', 'ENST00000527446', 'ENST00000530721', 'ENST00000531188', 'ENST00000532872')
4016	7	('ENST00000379412', 'ENST00000422447', 'ENST00000430553', 'ENST00000540430', 'ENST00000541097', 'ENST00000542179', 'ENST00000545215')
3830	2	('ENST00000308162', 'ENST00000525451')
3644	5	('ENST00000311604', 'ENST00000381775', 'ENST00000405957', 'ENST00000406638', 'ENST00000612798')
3343	5	('ENST00000314138', 'ENST00000524496', 'ENST00000530022', 'ENST00000531978', 'ENST00000534599')
3258	2	('ENST00000263398', 'ENST00000428726')
3253	1	('ENST00000378024',)
3243	8	('ENST00000273550', 'ENST00000526640', 'ENST00000529548', 'ENST00000530019', 'ENST00000532601', 'ENST00000532829', 'ENST00000534180', 'ENST00000620041')
3196	11	('ENST00000308162', 'ENST00000524553', 'ENST00000525451', 'ENST00000526975', 'ENST00000527344', 'ENST00000530413', 'ENST00000531407', 'ENST00000531413', 'ENST00000532134', 'ENST00000534769', 'ENST00000534784')
3167	7	('ENST00000227378', 'ENST00000453788', 'ENST00000526110', 'ENST00000528292', 'ENST00000532636', 'ENST00000534319', 'ENST00000534624')
3129	1	('ENST00000278412',)
3102	7	('ENST00000314138', 'ENST00000524496', 'ENST00000526562', 'ENST00000530022', 'ENST00000530913', 'ENST00000532359', 'ENST00000534599')
3013	13	('ENST00000227157', 'ENST00000379412', 'ENST00000396222', 'ENST00000422447', 'ENST00000430553', 'ENST00000478970', 'ENST00000495052', 'ENST00000535451', 'ENST00000539814', 'ENST00000540430', 'ENST00000541097', 'ENST00000542179', 'ENST00000543445')
2922	5	('ENST00000308162', 'ENST00000524553', 'ENST00000525451', 'ENST00000527344', 'ENST00000531407')
2921	4	('ENST00000395074', 'ENST00000528489', 'ENST00000528954', 'ENST00000530561')
2887	8	('ENST00000227378', 'ENST00000453788', 'ENST00000524552', 'ENST00000526110', 'ENST00000532636', 'ENST00000533540', 'ENST00000534319', 'ENST00000534624')
2823	7	('ENST00000279259', 'ENST00000434372', 'ENST00000526555', 'ENST00000527548', 'ENST00000529259', 'ENST00000529639', 'ENST00000531743')
2776	2	('ENST00000301785', 'ENST00000403734')
2775	2	('ENST00000332118', 'ENST00000532259')
2772	2	('ENST00000379412', 'ENST00000540430')
2746	1	('ENST00000299413',)
2721	3	('ENST00000394224', 'ENST00000527525', 'ENST00000534313')
2705	2	('ENST00000534980', 'ENST00000620157')
2688	7	('ENST00000273550', 'ENST00000529191', 'ENST00000529631', 'ENST00000530019', 'ENST00000532829', 'ENST00000534180', 'ENST00000620041')
2680	11	('ENST00000278572', 'ENST00000422465', 'ENST00000524851', 'ENST00000525690', 'ENST00000525933', 'ENST00000526248', 'ENST00000526608', 'ENST00000527446', 'ENST00000530721', 'ENST00000531188', 'ENST00000532872')
2670	1	('ENST00000321153',)
2669	5	('ENST00000227157', 'ENST00000379412', 'ENST00000396222', 'ENST00000422447', 'ENST00000540430')
2651	13	('ENST00000301764', 'ENST00000535283', 'ENST00000540166', 'ENST00000679588', 'ENST00000679712', 'ENST00000680075', 'ENST00000680357', 'ENST00000680367', 'ENST00000680602', 'ENST00000680717', 'ENST00000681188', 'ENST00000681803', 'ENST00000681935')
2624	3	('ENST00000398606', 'ENST00000498765', 'ENST00000646888')
2553	8	('ENST00000531329', 'ENST00000531572', 'ENST00000533626', 'ENST00000640290', 'ENST00000651655', 'ENST00000677121', 'ENST00000678132', 'ENST00000678993')
2509	2	('ENST00000361236', 'ENST00000398136')
2477	9	('ENST00000308162', 'ENST00000524553', 'ENST00000525451', 'ENST00000527344', 'ENST00000530413', 'ENST00000531407', 'ENST00000531413', 'ENST00000532134', 'ENST00000534769')
2461	5	('ENST00000341394', 'ENST00000389645', 'ENST00000529307', 'ENST00000530820', 'ENST00000532820')
2431	3	('ENST00000326294', 'ENST00000341356', 'ENST00000616321')
2426	3	('ENST00000320631', 'ENST00000359393', 'ENST00000621096')
2413	1	('ENST00000530022',)
2378	13	('ENST00000278572', 'ENST00000524851', 'ENST00000526248', 'ENST00000526608', 'ENST00000527273', 'ENST00000527446', 'ENST00000528439', 'ENST00000528847', 'ENST00000530164', 'ENST00000530170', 'ENST00000531188', 'ENST00000532872', 'ENST00000534440')
2375	2	('ENST00000308595', 'ENST00000526285')
2353	1	('ENST00000314133',)
2337	6	('ENST00000227378', 'ENST00000453788', 'ENST00000532636', 'ENST00000533540', 'ENST00000534319', 'ENST00000534624')
2334	5	('ENST00000260197', 'ENST00000525532', 'ENST00000527934', 'ENST00000532694', 'ENST00000534286')
2332	13	('ENST00000328221', 'ENST00000399815', 'ENST00000408968', 'ENST00000528780', 'ENST00000679380', 'ENST00000679765', 'ENST00000680588', 'ENST00000680696', 'ENST00000680938', 'ENST00000681180', 'ENST00000681426', 'ENST00000681577', 'ENST00000681938')
2323	3	('ENST00000379412', 'ENST00000495052', 'ENST00000540430')
2302	7	('ENST00000227157', 'ENST00000379412', 'ENST00000422447', 'ENST00000430553', 'ENST00000540430', 'ENST00000542179', 'ENST00000545215')
2281	6	('ENST00000346178', 'ENST00000356638', 'ENST00000532402', 'ENST00000534779', 'ENST00000540933', 'ENST00000648273')
2224	3	('ENST00000312055', 'ENST00000354558', 'ENST00000529230')
2222	5	('ENST00000279247', 'ENST00000524773', 'ENST00000527323', 'ENST00000533129', 'ENST00000533820')
2206	9	('ENST00000422465', 'ENST00000524851', 'ENST00000526248', 'ENST00000527446', 'ENST00000528847', 'ENST00000530164', 'ENST00000530170', 'ENST00000530721', 'ENST00000531188')
2183	3	('ENST00000278823', 'ENST00000524902', 'ENST00000527204')
2120	2	('ENST00000227155', 'ENST00000524750')
2092	2	('ENST00000257261', 'ENST00000278840')
2088	7	('ENST00000227378', 'ENST00000524552', 'ENST00000526110', 'ENST00000532636', 'ENST00000533540', 'ENST00000534319', 'ENST00000534624')
2082	3	('ENST00000398603', 'ENST00000398606', 'ENST00000498765')
2068	1	('ENST00000301785',)
2062	2	('ENST00000322535', 'ENST00000528302')
2036	7	('ENST00000227378', 'ENST00000453788', 'ENST00000526110', 'ENST00000532636', 'ENST00000533540', 'ENST00000534319', 'ENST00000534624')
2027	3	('ENST00000322535', 'ENST00000528302', 'ENST00000530981')
2026	2	('ENST00000287156', 'ENST00000340573')
2019	1	('ENST00000379719',)
2005	1	('ENST00000311481',)
